tanggal,nama,tweet
2022-06-09 04:21:47+00:00,hmynkhan,"@mudazir Tabhi Youthia on month se Rana SanaUllah k dar se apny hi Ghar ni aa rha ta, KPK ma chupa hwa ta"
2022-06-09 04:20:56+00:00,aniesmania,"Ayo KPK jaga marwah integritas dengan berdiri bersama kejujuran dan kebenaran‼️

#Anies #AniesBaswedan https://t.co/vQphKstAod"
2022-06-09 04:19:57+00:00,cak_sobirin,@UmarHasibuan070 @KPK_RI Gak bisa nangkap ya ? Mundur aja fir
2022-06-09 04:17:20+00:00,fidasyarifah95,@manusiagabersa1 Bukti KPK semakin kuat yaitu terbukti dengan penangkapan Walikota Bekasi terkait kasus jual beli j… https://t.co/b99US57Eyf
2022-06-09 04:16:56+00:00,SirmenKhan,@SHABAZGIL @SHABAZGIL kpk bej2 in ko .karaya main donga .aur sehat card se ilaj hojaige
2022-06-09 04:16:11+00:00,gucel_id,@yusuf_dumdum @KPK_RI rame amat nih.. filem bokep baru judulnya apa? https://t.co/thMxYuRPRc
2022-06-09 04:13:32+00:00,ecosocrights,"Membubarkan KPK krn para pimimpinannya bermasalah itu spt kata pepatah, buruk muka cermin dibelah. Yang pantas dibu… https://t.co/8TpWdcQ6EF"
2022-06-09 04:13:09+00:00,WARKOPMOVEON,"@UmarHasibuan070 @KPK_RI Hahhaha

Dia kali yg kena titip"
2022-06-09 04:10:47+00:00,merrie_red,@jalurbekasi @hrdbacot @perkeretaapian @KPK_RI coba turun tngn mslh ini. Sapa tau ada korupsi makanya ga kelar2.… https://t.co/AVoccMuWa6
2022-06-09 04:10:27+00:00,RizkiSiagian4,@OposisiCerdas Itu lah bobot ketua @KPK_RI
2022-06-09 04:09:57+00:00,AdiMuammar,"@UmarHasibuan070 Gus Umar: Ketua Sibuk Pasang Baliho, Wakilnya Terima Gratifikasi, KPK Layak Dibubarkan

https://t.co/WlyO5ShmAl"
2022-06-09 04:09:43+00:00,fajaronline,"Gus Umar: Ketua Sibuk Pasang Baliho, Wakilnya Terima Gratifikasi, KPK Layak Dibubarkan https://t.co/ahHxQlijhZ… https://t.co/6w1jbGp637"
2022-06-09 04:09:30+00:00,ank_dadang,"@RasamalaArt KPK Bubarkan,Presiden Mengumumkan Diri Sbg Panglima Tertinggi Pemberantasan Korupsi tanpa Pandang Siap… https://t.co/Z8r7nCvJyF"
2022-06-09 04:08:53+00:00,ecosocrights,Justru itu yg diinginkan rezim oligarki @Jokowi: KPK dibubarkan. Makanya rezim merusaknya terlebih dahulu dgn revis… https://t.co/k5LecKncmN
